1d وان‌دی
2d تو‌دی
2pac توپاک
3d تری‌دی
3g تری‌جی
4g فور‌جی
4k فور‌کی
5d فایو‌دی
5g فایو‌جی
6d سیکس‌دی
7d سون‌دی
8d ایت‌دی
9d ناین‌دی
abc ای‌بی‌سی
abdollah عبدالله
abdollahi عبداللهی
abdollahian عبداللهیان
abdollahzade عبدالله‌زاده
abdollahzadeh عبدالله‌زاده
abdolmaleki عبدالملکی
abdolmalekian عبدالملکیان
abri ابری
aali عالی
abs ای‌بی‌اس
account اکانت
acemoon آسمون
achieve اچیوم
acid اسید
acknowledge اَکنالج
action اکشن
activation اکتیویشن
add اد
adele ادل
adventure ادونچر
advertise ادوِرتایز
advice ادویس
advisor ادوایزر
affect افکت
affiliate افیلیت
africa آفریقا
agenda آجندا
aggregate اَگریکیت
agile اجایل
aguilera اگویلریا
aim ایم
air ایر
akradi اکرادی
alarm آلارم
album آلبوم
alem عالم
alex الکس
alexa الکسا
alexis الکسیس
alibahadori علی‌بهادری
alien آلیِن
align الاین
allah الله
allow الَاو
alpha آلفا
alternative آلترنیتیو
ambulance آمبولانس
amdan امداً
america آمریکا
amplify اَمپلیفای
analytics آنالیتیکس
analyze آنالایز
android اندروید
animal انیمال
announce اَنانس
announcement آنونسمنت
answer آنسر
anticipate اَنتیسپیَت
antique آنتیک
anxiety انگزایتی
api ای‌پی‌آی
app اپ
app اپ
appeal اَپیِل
apple اپل
appoint اَپویِنت
approve اَپروو
aqua آکوا
aquarium آکواریوم
arc آرک
archive آرشیو
archive آرشیو
argument آرگیومنت
ariana آریانا
arise اَرایز
arrange ارنج
arrange اَرنژ
arrangement ارنجمنت
arrangement ارنجمنت
artificial آرتیفیشال
artist آرتیست
ashegh عاشق
asheq عاشق
asheghe عاشق
ashghal آشغال
ashqal آشغال
asimov آسیموف
assemble اَسِمبِل
assert اَسرت
assess اَسِس
asset اَسِت
asset اَسِت
assignment اساینمنت
assist اَسیست
assume اَسِیوم
assure اَشور
athlete اَثلِت
atm ای‌تی‌ام
attach اَتچ
attack اتک
attari عطاری
attempt اَتمپت
attend اَتِند
attention اَتنشن
audio آدیو
austen آستن
author آتور
authorize اَثِرایز
auto آتو
automate اَتومِیت
automatic اتوماتیک
avail اَویِل
avalan اولاً
avvalan اولاً
aw او
award اوارد
aware اَوِر
ayat آیات
ayate آیات
ayatollah آیت‌الله
aziztarinam عزیزترینم
baba بابا
babaei بابائی
bahareh بهاره
balance بالانس
balance بالِنس
bamilo بامیلو
ban بن
banner بَنِر
barack باراک
baroon بارون
barooni بارونی
bashe باشه
basheh باشه
basic بیسیک
basketball بسکتبال
battery باتری
beat بیت
beatles بیتلز
beauty بیوتی
beginner بِگینر
bekaram بکارم
bekarim بکاریم
bekheir به خیر
bell بِل
bellucci بلوچی
benchmark بِنچمارک
beshe بشه
best بست
beyonce بیانسه
bf بی‌اف
bia بیا
bicycle بایسیکل
bieber بیبر
bighararam بیقرارم
bin بین
bio بایو
bird بِرد
birthday برث‌دی
blame بلیم
blend بلِند
blog بلاگ
blog بلاگ
blond بلوند
blonde بلوند
blueprint بلوپرینت
blunt بلانت
blur بلور
bmw بی‌ام‌و
boa بوا
bob باب
booa بوا
boost بوست
boost بُست
border بوردِر
borrow بُرو
bot بات
boundary بَوندری
bowie بووی
boy بوی
boyfriend بوی‌فرند
bracelet بریسلت
brainstorm بْرِین‌استورم
brainstorming برین‌استورمینگ
brand برند
brand برند
brave بریو
breakdown بریک‌داون
britney بریتنی
broadcast برادکست
broker بْرُکر
bruce بروس
bua بوا
budget بوجِت
budget بْجِت
buffer بْفِر
bug باگ
bug باگ
builder بیلدر
building بیلدینگ
bulk بْلک
bundle بْندل
burder برگر
burger برگر
bury بْری
busy بیزی
button باتن
bypass بْیَپَس
byte بایت
cabin کابین
cable کابل
cache کش
cafe کافه
cake کیک
calculate کَلکولیت
calculate کَ‌لکولیت
calendar کَلندر
cam کم
camera کمرا
cameron کامرون
campaign کمپین
camping کمپینگ
canada کانادا
cancel کنسل
candidate کاندیدیت
capability کَپَبیلیتی
capital کپیتال
capsule کپسول
captain کاپیتان
caption کَپشن
capture کَپچر
capture کپچر
